*f,i
coal,coal-new
coal,CoalOldScr
coal,coalolduns
coal,coal-ccs_mod
coal,coal-ccs_max
coal,coal-igcc
coal,coal-ccs-f1
coal,coal-ccs-f2
coal,coal-ccs-f3
naturalgas,gas-cc
naturalgas,gas-cc_h_1x1
naturalgas,gas-cc_h_2x1
naturalgas,gas-ct
naturalgas,gas-ct_aero
naturalgas,o-g-s
naturalgas,gas-cc-ccs_mod
naturalgas,gas-cc-ccs_max
naturalgas,gas-cc_h_1x1-ccs_mod
naturalgas,gas-cc_h_1x1-ccs_max
naturalgas,gas-cc_h_2x1-ccs_mod
naturalgas,gas-cc_h_2x1-ccs_max
naturalgas,gas-cc-ccs-f1
naturalgas,gas-cc-ccs-f2
naturalgas,gas-cc-ccs-f3
naturalgas,ng-fuel-cell
uranium,nuclear
uranium,nuclear-smr
biomass,biopower
biomass,beccs_mod
biomass,beccs_max
biomass,cofirenew
biomass,cofireold
h2fuel,H2-CT
h2fuel,H2-CC
h2fuel,h2-fuel-cell
