r,st,interconnect,transreg,transgrp,nercr,hurdlereg
p1,WA,western,NorthernGrid,NorthernGrid_West,WECC_NW,Puget_Sound_Energy_Inc
p2,WA,western,NorthernGrid,NorthernGrid_West,WECC_NW,Bonneville_Power_Administration
p3,WA,western,NorthernGrid,NorthernGrid_West,WECC_NW,Avista_Corp
p4,WA,western,NorthernGrid,NorthernGrid_West,WECC_NW,PUD_No2_of_Grant_County
p5,OR,western,NorthernGrid,NorthernGrid_West,WECC_NW,Bonneville_Power_Administration
p6,OR,western,NorthernGrid,NorthernGrid_West,WECC_NW,PacifiCorp_West
p7,OR,western,NorthernGrid,NorthernGrid_West,WECC_NW,Bonneville_Power_Administration
p8,CA,western,NorthernGrid,NorthernGrid_South,WECC_NW,PacifiCorp_West
p9,CA,western,CAISO,CAISO,WECC_CA,CAISO
p10,CA,western,CAISO,CAISO,WECC_CA,CAISO
p11,CA,western,CAISO,CAISO,WECC_CA,CAISO
p12,NV,western,NorthernGrid,NorthernGrid_South,WECC_SW,Nevada_Power_Co
p13,NV,western,NorthernGrid,NorthernGrid_South,WECC_SW,Nevada_Power_Co
p14,ID,western,NorthernGrid,NorthernGrid_East,WECC_NW,Avista_Corp
p15,ID,western,NorthernGrid,NorthernGrid_East,WECC_BA,Idaho_Power_Co
p16,ID,western,NorthernGrid,NorthernGrid_East,WECC_BA,Idaho_Power_Co
p17,MT,western,NorthernGrid,NorthernGrid_East,WECC_NW,Northwestern_Energy
p18,MT,western,NorthernGrid,NorthernGrid_East,WECC_NW,Northwestern_Energy
p19,MT,western,NorthernGrid,NorthernGrid_East,WECC_NW,WAPA_Upper_Great_Plains_West
p20,MT,western,NorthernGrid,NorthernGrid_East,WECC_NW,Northwestern_Energy
p21,WY,western,NorthernGrid,NorthernGrid_East,WECC_RM,PacifiCorp_East
p22,WY,western,NorthernGrid,NorthernGrid_East,WECC_RM,PacifiCorp_East
p23,WY,western,WestConnect,WestConnect_North,WECC_RM,WAPA_Rocky_Mountain_Region
p24,WY,western,WestConnect,WestConnect_North,WECC_RM,WAPA_Rocky_Mountain_Region
p27,AZ,western,WestConnect,WestConnect_South,WECC_SW,WAPA_Desert_Southwest_Region
z28,AZ,western,WestConnect,WestConnect_South,WECC_SW,Arizona_Public_Service_Co
p29,AZ,western,WestConnect,WestConnect_South,WECC_SW,Arizona_Public_Service_Co
p31,NM,western,WestConnect,WestConnect_South,WECC_SW,Public_Service_Co_of_New_Mexico
p32,SD,western,WestConnect,WestConnect_North,WECC_RM,WAPA_Rocky_Mountain_Region
p33,CO,western,WestConnect,WestConnect_North,WECC_RM,Public_Service_Co_of_Colorado
p34,CO,western,WestConnect,WestConnect_North,WECC_RM,Public_Service_Co_of_Colorado
p35,MT,eastern,SPP,SPP_North,SPP,SPP
p36,ND,eastern,SPP,SPP_North,SPP,SPP
p37,ND,eastern,MISO,MISO_North,MISO,MISO
p38,SD,eastern,SPP,SPP_North,SPP,SPP
p39,NE,eastern,SPP,SPP_North,SPP,SPP
p40,NE,eastern,SPP,SPP_North,SPP,SPP
p41,NE,eastern,SPP,SPP_North,SPP,SPP
p42,MN,eastern,MISO,MISO_North,MISO,MISO
p43,MN,eastern,MISO,MISO_North,MISO,MISO
p44,MN,eastern,MISO,MISO_North,MISO,MISO
p45,IA,eastern,MISO,MISO_North,MISO,MISO
p46,WI,eastern,MISO,MISO_North,MISO,MISO
p47,NM,eastern,SPP,SPP_South,SPP,SPP
p48,TX,eastern,SPP,SPP_South,SPP,SPP
p49,OK,eastern,SPP,SPP_South,SPP,SPP
p50,OK,eastern,SPP,SPP_South,SPP,SPP
p51,OK,eastern,SPP,SPP_South,SPP,SPP
p52,KS,eastern,SPP,SPP_South,SPP,SPP
p53,KS,eastern,SPP,SPP_South,SPP,SPP
p54,MO,eastern,SPP,SPP_South,SPP,SPP
p55,MO,eastern,SPP,SPP_South,SPP,SPP
p56,AR,eastern,SPP,SPP_South,SPP,SPP
p57,TX,eastern,SPP,SPP_South,SPP,SPP
p58,LA,eastern,MISO,MISO_South,MISO,MISO
p59,TX,western,WestConnect,WestConnect_South,WECC_SW,El_Paso_Electric
p60,TX,texas,ERCOT,ERCOT,ERCOT,ERCOT
p61,TX,texas,ERCOT,ERCOT,ERCOT,ERCOT
p62,TX,texas,ERCOT,ERCOT,ERCOT,ERCOT
p63,TX,texas,ERCOT,ERCOT,ERCOT,ERCOT
p64,TX,texas,ERCOT,ERCOT,ERCOT,ERCOT
p65,TX,texas,ERCOT,ERCOT,ERCOT,ERCOT
p66,TX,eastern,MISO,MISO_South,MISO,MISO
p67,TX,texas,ERCOT,ERCOT,ERCOT,ERCOT
p68,MN,eastern,MISO,MISO_North,MISO,MISO
p69,IA,eastern,MISO,MISO_North,MISO,MISO
p70,IA,eastern,MISO,MISO_North,MISO,MISO
p71,MO,eastern,MISO,MISO_Central,MISO,MISO
p72,MO,eastern,MISO,MISO_Central,MISO,MISO
p73,MO,eastern,MISO,MISO_Central,MISO,MISO
p74,MI,eastern,MISO,MISO_North,MISO,MISO
p75,WI,eastern,MISO,MISO_North,MISO,MISO
p76,WI,eastern,MISO,MISO_North,MISO,MISO
p77,WI,eastern,MISO,MISO_North,MISO,MISO
p78,WI,eastern,MISO,MISO_North,MISO,MISO
p79,WI,eastern,MISO,MISO_North,MISO,MISO
p80,IL,eastern,PJM,PJM_West,PJM,PJM
p81,IL,eastern,MISO,MISO_Central,MISO,MISO
p82,IL,eastern,MISO,MISO_Central,MISO,MISO
p83,IL,eastern,MISO,MISO_Central,MISO,MISO
p84,MO,eastern,MISO,MISO_Central,MISO,MISO
p85,AR,eastern,MISO,MISO_South,MISO,MISO
p86,LA,eastern,MISO,MISO_South,MISO,MISO
p87,MS,eastern,MISO,MISO_South,MISO,MISO
p88,MS,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p89,AL,eastern,SERTP,SERTP,SERC_SE,Southern_Co_Services_Inc
p90,AL,eastern,SERTP,SERTP,SERC_SE,PowerSouth_Energy_Coop
p91,FL,eastern,SERTP,SERTP,SERC_SE,Southern_Co_Services_Inc
p92,TN,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p93,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p94,GA,eastern,SERTP,SERTP,SERC_SE,Southern_Co_Services_Inc
p95,SC,eastern,SERTP,SERTP,SERC_E,Duke_Energy_Carolinas_LLC
p96,SC,eastern,SERTP,SERTP,SERC_E,South_Carolina_Electric_Gas_Co
p97,NC,eastern,SERTP,SERTP,SERC_E,Duke_Energy_Carolinas_LLC
p98,NC,eastern,SERTP,SERTP,SERC_E,Duke_Energy_Progress_East
p99,VA,eastern,PJM,PJM_East,PJM,PJM
p100,VA,eastern,PJM,PJM_East,PJM,PJM
p101,FL,eastern,FRCC,FRCC,SERC_F,Seminole_Electric_Coop_Inc
p102,FL,eastern,FRCC,FRCC,SERC_F,Florida_Power_and_Light
p103,MI,eastern,MISO,MISO_Central,MISO,MISO
p104,MI,eastern,PJM,PJM_West,PJM,PJM
p105,IN,eastern,MISO,MISO_Central,MISO,MISO
p106,IN,eastern,MISO,MISO_Central,MISO,MISO
p107,IN,eastern,MISO,MISO_Central,MISO,MISO
p108,KY,eastern,MISO,MISO_Central,MISO,MISO
p109,KY,eastern,PJM,PJM_East,PJM,PJM
p110,KY,eastern,PJM,PJM_East,PJM,PJM
p111,OH,eastern,PJM,PJM_East,PJM,PJM
p112,OH,eastern,PJM,PJM_East,PJM,PJM
p113,OH,eastern,PJM,PJM_East,PJM,PJM
p114,OH,eastern,PJM,PJM_East,PJM,PJM
p115,PA,eastern,PJM,PJM_East,PJM,PJM
p116,WV,eastern,PJM,PJM_East,PJM,PJM
p117,WV,eastern,PJM,PJM_East,PJM,PJM
p118,VA,eastern,PJM,PJM_East,PJM,PJM
p120,PA,eastern,PJM,PJM_East,PJM,PJM
p121,MD,eastern,PJM,PJM_East,PJM,PJM
z122,PA,eastern,PJM,PJM_East,PJM,PJM
p123,MD,eastern,PJM,PJM_East,PJM,PJM
p124,VA,eastern,PJM,PJM_East,PJM,PJM
p125,DE,eastern,PJM,PJM_East,PJM,PJM
p126,NJ,eastern,PJM,PJM_East,PJM,PJM
p127,NY,eastern,NYISO,NYISO,NPCC_NY,NYISO
p128,NY,eastern,NYISO,NYISO,NPCC_NY,NYISO
p129,VT,eastern,ISONE,ISONE,NPCC_NE,ISONE
p130,NH,eastern,ISONE,ISONE,NPCC_NE,ISONE
p131,MA,eastern,ISONE,ISONE,NPCC_NE,ISONE
p132,CT,eastern,ISONE,ISONE,NPCC_NE,ISONE
p133,RI,eastern,ISONE,ISONE,NPCC_NE,ISONE
p134,ME,eastern,ISONE,ISONE,NPCC_NE,ISONE
p49001,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49003,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49005,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49007,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49009,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49011,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49013,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49015,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49017,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49019,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49021,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49023,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49025,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49027,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49029,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49031,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49033,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49035,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49037,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49039,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49041,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49043,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49045,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49047,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49049,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49051,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49053,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49055,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
p49057,UT,western,NorthernGrid,NorthernGrid_South,WECC_BA,PacifiCorp_East
